text,size
Mayo Clinic,40.9333333333333
Memorial Sloan Kettering Cancer Center,29.4666666666667
Silver Spring,27.0666666666667
Cleveland Clinic,26.5333333333333
Anderson Cancer Center,26.1333333333333
White House,19.4666666666667
Fred Hutchinson Cancer Research Center,18.4
Lenox Hill Hospital,16.6666666666667
Johns Hopkins Kimmel Cancer Center,15.7333333333333
Palm Beach County Convention Center,13.4666666666667
Moffitt Cancer Center,12.5333333333333
Aristide Le Dantec,11.4666666666667
MD Anderson Cancer Center,11.4666666666667
Massachusetts General Hospital,11.2
Pittsburgh International Airport,9.2





